canonical_SMILES,homo_ev,ewg_weighted,mol_weight,n_arom_rings,conj_length,logp,CATE,CATE_se,source_db
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)C2=C4SC3CC(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)SC23)cc1,-5.69,3.64,1446.043,9,26,24.76442,-0.0278650867154122,0.0111443125702627,your_data
CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c3c(sc12)-c1c(c2c(c4nsnc14)c1sc4c(CCCCCCCCCCC)c(C=C5C(=O)c6cc(CF)c(F)cc6C5=C(C#N)C#N)sc4c1n2CC(CC)CCCC)CN3CC(CC)CCCC,-5.7,4.56,1480.025,9,35,25.9661200000001,-0.0244909707162923,0.0112795387409467,your_data
CCc1c(/C=C2\C(=O)c3cc(Cl)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,-5.74,4.56,1064.071,10,6,15.37042,-0.0118902640763901,0.0212798866605722,your_data
CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,-5.7,4.56,1064.071,10,6,15.37042,-0.0118163247074222,0.0211762786487381,your_data
CCCCC(CC)Cc1cc(-c2cc(CC(CC)CCCC)c(-c3sc(-c4cc(CC(CC)CCCC)c(C=C5C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)cc3CC(CC)CCCC)s2)sc1C=C1C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,-5.86,4.56,1259.724,6,29,22.68692,-0.0250848767392533,0.00748149823511455,your_data
CCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.67,4.56,1480.025,10,34,26.2486200000001,-0.0211278452223351,0.00721111216963872,your_data
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6C(C#N)C#N)sc5c4n(CCCCCCCCCCC)c3c21,-5.74,4.56,1580.23,10,45,29.3578200000001,-0.0249162635626851,0.00880981657457374,your_data
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6C(C#N)C#N)sc5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,-5.71,4.56,1762.581,10,57,34.2850200000001,-0.014257277650766,0.00760627280729833,your_data
CCCCC(CC)CSc1cc(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2sc3c(c2s1)C(CCCCCCc1ccccc1)(CCCCCCc1ccccc1)c1cc2c(cc1-3)C(CCCCCCc1ccccc1)(CCCCCCc1ccccc1)c1c-2sc2cc(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc12,-5.46,4.56,1726.354,12,38,31.2995200000001,-0.0229697680918528,0.00663072945226889,your_data
CCCCCCC(CCCC)Cc1c(C=C2C(=O)c3c(csc3Cl)C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.68,4.1,1489.013,10,34,27.1220200000001,-0.0206184957290822,0.0100318917539178,your_data
CCCCCCCCCc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,-5.7,4.56,1573.899,10,38,29.3742200000001,-0.0227104814600731,0.0135496691311221,your_data
CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.72,4.56,1451.971,10,34,25.7566200000001,-0.0225409601392238,0.0106830017255557,your_data
CCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5cc(F)c(F)cc5nc4c4c5sc6c(CC(CCC)CCCCCC)c(/C=C7\C(=O)C8C=C(F)C(F)=CC8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,-5.67,5.02,1660.241,10,41,30.2530200000001,-0.0258463367267772,0.0118201408779381,your_data
CCCCCCCCCCCCOc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21)SC(C=C1C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N)C6OCCCCCCCCCCC,-5.74,4.56,1500.012,9,37,25.3008200000001,-0.0268331570002219,0.012583500985569,your_data
CCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2cc(-c3sc4c(N(c5ccc(CCCC)cc5)c5ccc(CCCCC)cc5)c(-c5cc6sc(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)c(CCCCCCCC)c6s5)sc4c3N(c3ccc(CCCC)cc3)c3ccc(CCCC)cc3)sc12,-5.55,4.56,1694.313,12,37,32.0730200000001,-0.0233386977394968,0.00582549655269506,your_data
CCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,-5.65,4.56,1508.079,10,38,27.3170200000001,-0.0223877401730027,0.00896872509158733,your_data
