SMILES,homo_ev,lumo_ev,bandgap_ev,source_db,canonical_SMILES,ewg_count,ewg_weighted,mol_weight,n_arom_rings,conj_length,logp,measurement_type,halogen_count,nonarom_cc,scaffold,split
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15,-5.69,-4.11,1.55,your_data,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Cc3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)C2=C4SC3CC(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)SC23)cc1,6,3.64,1446.042999999999,9,26,24.764420000000044,experiment,0,5,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)Cc2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)C2=C3SC3CC(C=C4C(=C)c5ccccc5C4=O)SC23)C(=O)c2ccccc21,train
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc4c5c(sc34)c6c(CN5CC(CC)CCCC)c%12c(c7nsnc67)c%11sc%10c(CCCCCCCCCCC)c(C=c9c(=O)c8cc(CF)c(F)cc8c9=C(C#N)C#N)sc%10c%11n%12CC(CC)CCCC,-5.7,-4.08,1.33,your_data,CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c3c(sc12)-c1c(c2c(c4nsnc14)c1sc4c(CCCCCCCCCCC)c(C=C5C(=O)c6cc(CF)c(F)cc6C5=C(C#N)C#N)sc4c1n2CC(CC)CCCC)CN3CC(CC)CCCC,10,4.5600000000000005,1480.024999999999,9,35,25.966120000000068,experiment,4,4,C=C1C(=Cc2cc3sc4c(c3s2)NCc2c-4c3nsnc3c3c2[nH]c2c4sc(C=C5C(=C)c6ccccc6C5=O)cc4sc23)C(=O)c2ccccc21,train
CCc1c(/C=C2\C(=O)c3cc(Cl)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,-5.74,-3.96,1.33,your_data,CCc1c(/C=C2\C(=O)c3cc(Cl)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,10,4.5600000000000005,1064.0709999999992,10,6,15.370419999999974,experiment,4,4,C=C1/C(=C/c2cc3sc4c([nH]c5c6[nH]c7c8sc(/C=C9/C(=C)c%10ccccc%10C9=O)cc8sc7c6c6nsnc6c54)c3s2)C(=O)c2ccccc21,train
CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,-5.7,-3.91,1.33,your_data,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,10,4.5600000000000005,1064.070999999999,10,6,15.370419999999978,experiment,4,4,C=C1/C(=C/c2cc3sc4c([nH]c5c6[nH]c7c8sc(/C=C9/C(=C)c%10ccccc%10C9=O)cc8sc7c6c6nsnc6c54)c3s2)C(=O)c2ccccc21,train
CCCCC(CC)Cc6cc(c5cc(CC(CC)CCCC)c(c4sc(c3cc(CC(CC)CCCC)c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)s3)cc4CC(CC)CCCC)s5)sc6C=c8c(=O)c7cc(F)c(F)cc7c8=C(C#N)C#N,-5.86,-3.98,1.52,your_data,CCCCC(CC)Cc1cc(-c2cc(CC(CC)CCCC)c(-c3sc(-c4cc(CC(CC)CCCC)c(C=C5C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)cc3CC(CC)CCCC)s2)sc1C=C1C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,10,4.5600000000000005,1259.7239999999997,6,29,22.68692000000004,experiment,4,4,C=C1C(=Cc2ccc(-c3ccc(-c4ccc(-c5ccc(C=C6C(=C)c7ccccc7C6=O)s5)s4)s3)s2)C(=O)c2ccccc21,train
CCCCCCC(CCCC)Cc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CC(CCCC)CCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CC)CCCC)c9c%10n(CC(CC)CCCC)c%11%12,-5.67,-3.9,1.55,your_data,CCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,10,4.5600000000000005,1480.0249999999987,10,34,26.24862000000008,experiment,4,4,C=C1C(=Cc2cc3sc4c([nH]c5c6[nH]c7c8sc(C=C9C(=C)c%10ccccc%10C9=O)cc8sc7c6c6nsnc6c54)c3s2)C(=O)c2ccccc21,train
CCCCCCCCCCCCC(CCCCCCCCCC)Cn%12c4c3sc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)c(CCCCCC)c3sc4c%11c5nsnc5c%10c9sc8c(CCCCCC)c(/C=C/7C(=O)c6cc(F)c(F)cc6C7C(C#N)C#N)sc8c9n(CCCCCCCCCCC)c%10c%11%12,-5.74,-3.88,1.4,your_data,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6C(C#N)C#N)sc5c4n(CCCCCCCCCCC)c3c21,10,4.5600000000000005,1580.229999999999,10,45,29.35782000000011,experiment,4,3,C=C1C(=Cc2cc3sc4c([nH]c5c6[nH]c7c8sc(/C=C9/Cc%10ccccc%10C9=O)cc8sc7c6c6nsnc6c54)c3s2)C(=O)c2ccccc21,train
CCCCCCCCCCCCC(CCCCCCCCCC)Cn%12c4c3sc(/C=C/2C(=O)c1cc(F)c(F)cc1C2C(C#N)C#N)c(CCCCCC)c3sc4c%11c5nsnc5c%10c9sc8c(CCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c%10c%11%12,-5.71,-3.86,1.4,your_data,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6C(C#N)C#N)sc5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,10,4.5600000000000005,1762.5809999999997,10,57,34.28502000000009,experiment,4,3,C=C1C(=Cc2cc3sc4c([nH]c5c6[nH]c7c8sc(/C=C9/Cc%10ccccc%10C9=O)cc8sc7c6c6nsnc6c54)c3s2)C(=O)c2ccccc21,train
CCCCC(CC)CSc3cc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc3c9cc8sc7c4cc%14c(cc4C(CCCCCCc5ccccc5)(CCCCCCc6ccccc6)c7c8s9)c%13sc%12cc(C=c%11c(=O)c%10cc(F)c(F)cc%10c%11=C(C#N)C#N)sc%12c%13C%14(CCCCCCc%15ccccc%15)CCCCCCc%16ccccc%16,-5.46,-3.96,1.43,your_data,CCCCC(CC)CSc1cc(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2sc3c(c2s1)C(CCCCCCc1ccccc1)(CCCCCCc1ccccc1)c1cc2c(cc1-3)C(CCCCCCc1ccccc1)(CCCCCCc1ccccc1)c1c-2sc2cc(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc12,10,4.5600000000000005,1726.3539999999994,12,38,31.299520000000086,experiment,4,4,C=C1C(=Cc2ccc(-c3cc4sc5c(c4s3)C(CCCCCCc3ccccc3)(CCCCCCc3ccccc3)c3cc4c(cc3-5)C(CCCCCCc3ccccc3)(CCCCCCc3ccccc3)c3c-4sc4cc(C=C5C(=C)c6ccccc6C5=O)sc34)s2)C(=O)c2ccccc21,test
CCCCCCC(CCCC)Cc3c(C=c2c(=O)c1c(Cl)scc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CC(CCCC)CCCCCC)c(C=c6c(=O)c5c(Cl)scc5c6=C(C#N)C#N)sc7c8n(CC(CC)CCCC)c9c%10n(CC(CC)CCCC)c%11%12,-5.68,-3.96,1.39,your_data,CCCCCCC(CCCC)Cc1c(C=C2C(=O)c3c(csc3Cl)C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,8,4.1000000000000005,1489.0129999999988,10,34,27.122020000000084,experiment,2,4,C=C1C(=Cc2cc3sc4c([nH]c5c6[nH]c7c8sc(C=C9C(=C)c%10cscc%10C9=O)cc8sc7c6c6nsnc6c54)c3s2)C(=O)c2cscc21,train
