SMILES,HOMO,LUMO,Voc,Jsc,fill_factor,PCE,source_db,canonical_SMILES
CCCCC(CC)COCc3c1cc(C)sc1c(OCC(CC)CCCC)c4cc(/C2=C/C(C(=O)OC)/C=C(C)\S2)sc34,-5.43,-3.37,0.91,6.32,32.85,1.89,your_data,CCCCC(CC)COCc1c2cc(C)sc2c(OCC(CC)CCCC)c2cc(C3=CC(C(=O)OC)C=C(C)S3)sc12
CCOC(=O)c1ccsc1-c1cc2c(-c3ccc(CC)s3)c3sc(-c4cc(C(=O)OCC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8cc(C(=O)OCC)c(-c9cc%10c(-c%11ccc(CC)s%11)c%11sccc%11c(-c%11ccc(CC)s%11)c%10s9)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)cc3c(-c3ccc(CC)s3)c2s1,-5.42,-3.4,0.89,6.21,66.09,3.65,your_data,CCOC(=O)c1ccsc1-c1cc2c(-c3ccc(CC)s3)c3sc(-c4cc(C(=O)OCC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8cc(C(=O)OCC)c(-c9cc%10c(-c%11ccc(CC)s%11)c%11sccc%11c(-c%11ccc(CC)s%11)c%10s9)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)cc3c(-c3ccc(CC)s3)c2s1
CCSc1sc(-c2c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc3c(-c3cc(F)c(SCC)s3)c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc23)cc1F,-5.59,-3.61,0.85,23.16,69.66,13.69,your_data,CCSc1sc(-c2c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc3c(-c3cc(F)c(SCC)s3)c3cc(-c4cc(CC)c(-c5cc(CC)c(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)s4)sc23)cc1F
CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1,-5.46,-3.7,0.82,24.58,75.36,15.3,your_data,CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1
CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC,-5.51,-2.77,0.93,18.28,70.97,12.04,your_data,CCCCCCC(CCCC)Cc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(F)c(CC(CC)CCCC)s8)c8sccc8c(-c8cc(F)c(CC(CC)CCCC)[nH]8)c7s6)s5)sc4c3s2)c1
CCCCCCC(CCCC)Cc%16cc(c%15cc%14c1nsnc1c%13cc(c%12cc(CC(CCCC)CCCCCC)c(c%11cc%10c(c2cc(F)c(CC(CC)CCCC)s2)c8sc(c7ccc(c5sc(c3ccc(C)s3)c6c(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4c(=O)c56)s7)cc8c(c9cc(F)c(CC(CC)CCCC)s9)c%10s%11)s%12)sc%13c%14s%15)sc%16c%21cc%20c(c%17cc(F)c(CC(CC)CCCC)s%17)c%18sc(C)cc%18c(c%19cc(F)c(CC(CC)CCCC)s%19)c%20s%21,-5.51,-2.77,0.827,26.1,74.95,16.18,your_data,CCCCCCC(CCCC)Cc1cc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(F)c(CC(CC)CCCC)s8)c8sc(-c9ccc(-c%10sc(-c%11ccc(C)s%11)c%11c%10C(=O)c%10c(CC(CC)CCCC)sc(CC(CC)CCCC)c%10C%11=O)s9)cc8c(-c8cc(F)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)sc1-c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(C)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1
CCCCCCCCCCCC1=C(SC2=C1SC3=C2N(C4=C3C5=NSN=C5C6=C4N(C7=C6SC8=C7SC(=C8CCCCCCCCCCC)C=C9C(=C(C#N)C#N)C1=CC(=C(C=C1C9=O)F)F)CC(CC)CCCC)CC(CC)CCCC)C=C1C(=C(C#N)C#N)C2=CC(=C(C=C2C1=O)F)F,-5.51,-2.77,0.843,26.3,76.43,16.95,your_data,CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21
CCCCCCC(CCCC)Cc%11cc(c%10cc9c1nsnc1c8cc(c7cc(CC(CCCC)CCCCCC)c(c6cc5c(C2CC(Cl)C(CC(CC)CCCC)S2)c3sc(C)cc3c(c4cc(Cl)c(CC(CC)CCCC)s4)c5s6)s7)sc8c9s%10)sc%11C,-5.51,-2.77,0.912,26.54,78.81,19.08,your_data,CCCCCCC(CCCC)Cc1cc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(C8CC(Cl)C(CC(CC)CCCC)S8)c8sc(C)cc8c(-c8cc(Cl)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)sc1C
CCCCCCc9c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%10c(Cc3c(C(C)C)cc(C(C)C)cc3C(C)C)c(c7sc6c(CCCCCC)c(C=c5c(=O)c4cc(F)c(F)cc4c5=C(C#N)C#N)sc6c7c8c(C(C)C)cc(C(C)C)cc8C(C)C)sc9%10,-5.51,-2.77,0.82,20.72,70.83,12.11,your_data,CCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c(Cc3c(C(C)C)cc(C(C)C)cc3C(C)C)c(-c3sc4c(CCCCCC)c(C=C5C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c3-c3c(C(C)C)cc(C(C)C)cc3C(C)C)sc12
CCCCCCCCCCCc9c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%10c(Cc3c(C(C)C)cc(C(C)C)cc3C(C)C)c(c7sc6c(CCCCCCCCCCC)c(C=c5c(=O)c4cc(F)c(F)cc4c5=C(C#N)C#N)sc6c7c8c(C(C)C)cc(C(C)C)cc8C(C)C)sc9%10,-5.51,-2.77,0.83,21.07,74.48,13.03,your_data,CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c(Cc3c(C(C)C)cc(C(C)C)cc3C(C)C)c(-c3sc4c(CCCCCCCCCCC)c(C=C5C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c3-c3c(C(C)C)cc(C(C)C)cc3C(C)C)sc12
