X,y1,y2,y3,y4,y5,y6,y7,y8,w1,w2,w3,w4,w5,w6,w7,w8,ids
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCFF60>,-0.558313876966873,-0.8255537355004944,0.21513474072649016,0.6006842861863834,1.7070085750032964,-0.1717391826580997,1.8492569310243527,0.8506211919190244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCFCE0>,1.522775168396992,1.3936035304807344,-1.350280005959949,-1.2120599085293031,-0.31819660488541257,0.896670236651085,-0.6650031781465259,0.6449515393674908,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCF380>,-0.6078636161422031,-0.949876271409807,0.1299421014510376,0.5436797517613617,1.071237302314741,0.20220411410011516,0.7569434131583411,1.0188963621884612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCFB00>,1.522775168396992,1.3936035304807344,-1.350280005959949,1.0681214684715603,-0.9455470660151789,0.1487836431346559,-0.8201246244706933,-0.5080449976638348,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCF240>,-0.8060625728435233,-1.0804149341145852,0.4174672590056897,-1.2120599085293031,0.8186129555510769,0.9500907076165443,0.36052193921880243,0.5826274022306625,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCD760>,-0.6615425002488107,-0.6950150727957163,0.7049924165603418,0.5778824724163747,-1.0171239642648837,-0.11831871169264044,-0.8696773087131356,-0.6015312033690774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCE110>,-0.6863173698364756,-0.682582819204785,0.7901850558357941,0.7260942619214307,1.816479125267551,0.8432497656856258,0.9594630791926706,1.1373122227484356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCDBC0>,-0.6243801958673132,-0.4401538741816257,1.0457629736621519,0.9541123996215171,-0.49503364761997753,0.25562458506557445,0.04597011750590742,-0.8819898204848052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCE2F0>,-0.6408967755924232,-0.7820408479322352,0.5026598982811422,0.805900610116461,-1.4550061653219022,-1.2935690729327431,-1.4169112999122815,-1.1001243004637047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1
<rdkit.Chem.rdchem.Mol object at 0x00000239C3CCE430>,1.522775168396992,1.3936035304807344,-1.350280005959949,-1.2120599085293031,0.43125562384679167,-0.43884153748539545,0.438082662380886,1.0812204993252896,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
