PCE,HOMO_LUMO_gap,HOMO,LUMO,Voc,Jsc,CATE,CATE_var,CATE_se
1.89,-2.06,-5.43,-3.37,0.91,6.32,-3.13731000111522,4.40107425030216,2.09787374508147
3.65,-2.02,-5.42,-3.4,0.89,6.21,-3.27954751198396,4.65301758196473,2.15708543687188
13.69,-1.98,-5.59,-3.61,0.85,23.16,15.8134356064261,68.8162854670992,8.29555817694621
15.3,-1.76,-5.46,-3.7,0.82,24.58,15.7265940775169,47.8587638580204,6.91800288074676
12.04,-2.74,-5.51,-2.77,0.93,18.28,12.4484701008151,1.73379866135928,1.31673788635373
16.18,-2.74,-5.51,-2.77,0.827,26.1,18.5289000083809,120.293063400375,10.9678194460146
16.95,-2.74,-5.51,-2.77,0.843,26.3,20.4642191770321,200.440930976689,14.1577163051351
19.08,-2.74,-5.51,-2.77,0.912,26.54,32.0368382039512,255.426416798489,15.9820654734765
12.11,-2.74,-5.51,-2.77,0.82,20.72,12.3193235858613,21.5231922416859,4.63930945741776
13.03,-2.74,-5.51,-2.77,0.83,21.07,12.8888396715575,15.4776720959456,3.93416726842487
9.68,-2.74,-5.51,-2.77,1.04,15.8,8.06400187264266,17.2930408212066,4.15849020934361
17,-1.92,-5.45,-3.53,0.85,26.7,22.6695105475952,128.36852744577,11.3299835589364
18.4,-1.92,-5.45,-3.53,0.85,27.3,23.4645874856129,298.346355199653,17.2727054973925
16.4,-2.37,-5.25,-2.88,0.961,23.2,17.2939979496743,8.43084311488751,2.90359141665757
14.6,-1.95,-5.47,-3.52,0.83,23.6,15.7199442521093,53.2890488470286,7.29993485224551
19.1,-2.04,-5.5,-3.46,0.889,26.74,27.0088859566057,230.335782671096,15.1768172773838
18.31,-2.06,-5.48,-3.42,0.887,26.06,25.0043417936192,56.4259030176179,7.51171771418614
19.1,-2.54,-5.31,-2.77,0.869,27.82,15.7702460251133,86.0198603813087,9.27468923367833
9.89,-1.81,-5.22,-3.41,0.91,15.97,9.25732971780128,6.19011633681584,2.48799444067221
7.66,-2.03,-5.64,-3.61,1.07,13.46,0.11647529283476,5.27534601410114,2.2968121416653
10.76,-2.17,-5.51,-3.34,0.969,17.24,11.7245755564435,2.04037137695078,1.42841568772917
12.1,-2.21,-5.38,-3.17,0.85,19.33,11.2669015723994,9.81270032871677,3.1325229973165
10.4,-1.82,-5.27,-3.45,0.84,18.2,9.69352023840109,4.15418219799698,2.03818110039245
6.4,-2.04,-5.43,-3.39,0.94,14.1,6.12776916840219,7.92515818980701,2.81516574819441
12.1,-1.99,-5.46,-3.47,0.94,18.3,12.8899051911056,2.31409438637453,1.52121477325673
7.67,-2.35,-5.35,-3,0.76,17.8,9.77045311700178,4.6958861239619,2.16699933640089
11.3,-2.5,-5.47,-2.97,0.93,18.2,12.4923936282953,0.9595284382005,0.979555224681335
14.43,-1.8,-5.3,-3.5,0.94,21.25,15.8542827703183,5.44358999441556,2.33315022971423
4.8,-1.97,-5.13,-3.16,0.71,12.93,-0.348855739288237,4.5888412339671,2.14215807865972
9.26,-2.18,-5.26,-3.08,0.82,16.47,8.90626963107011,5.33318281308151,2.3093684879381
10.4,-1.94,-5.36,-3.42,0.82,18.1,10.0787866604297,5.12250713468233,2.2632956357229
5.18,-1.94,-5.39,-3.45,1.09,7.08,-3.04464792127533,4.63450283614247,2.15278954757368
11,-2.24,-5.32,-3.08,0.9,21.1,15.2896726501483,13.0063721522404,3.60643482573031
9.09,-2.23,-5.31,-3.08,0.904,16.12,9.65091034139512,4.81606577049058,2.194553660882
7.45,-2.24,-5.28,-3.04,0.849,15.33,6.99468595973258,7.57701680093675,2.75263815292471
6.97,-2.24,-5.33,-3.09,0.856,13.84,3.81674686375484,4.98299407041532,2.23226209715959
11.62,-2.46,-5.37,-2.91,0.92,18.09,12.0092993893553,2.8544356782103,1.68950752534882
10.37,-2.16,-5.4,-3.24,0.897,17.23,11.1135784602751,2.14188613360808,1.46351840904311
11.1,-2.35,-5.33,-2.98,0.87,18.41,11.3122579158027,3.3211856169363,1.8224120327018
10.23,-2.13,-5.42,-3.29,0.96,16.35,10.4594830018946,2.31089273671459,1.52016207580461
10.71,-2.54,-5.46,-2.92,0.97,16.45,10.758570749243,6.55485030273151,2.56024418810619
9.63,-2.5,-5.56,-3.06,0.99,15.89,7.05032131455317,13.4428570033644,3.66645019103825
8.04,-2.31,-4.89,-2.58,0.78,18.62,7.77678838317983,7.97003044475365,2.82312423473599
1.33,-1.95,-5.43,-3.48,0.495,7.41,-3.51062628216726,4.60219815073498,2.14527344428047
9.3,-1.95,-5.51,-3.56,0.758,19.5,10.6239824803447,9.71772734524558,3.11732695514051
13.16,-2,-5.4,-3.4,0.95,18.76,13.4154504927269,2.69582706430321,1.64189739761753
2.2,-1.4,-5.4,-4,0.69,6.7,-2.95734960104477,4.6901388938721,2.16567285014891
2.4,-1.6,-5.5,-3.9,0.76,7.3,-2.87729274674447,2.77217818341876,1.66498594090724
4,-1.8,-5.6,-3.8,1,6.8,-2.74287080234611,3.58825696794386,1.89426950773744
4.86,-2.27,-5.17,-2.9,0.86,8.53,-1.87557597290878,4.49857810986254,2.1209851743618
7.75,-2.39,-5.33,-2.94,0.91,13.15,-0.0550018786221234,6.0143888150241,2.45242508856521
6.3,-2.32,-5.36,-3.04,0.983,12.4,-0.690117659131392,6.23053717676933,2.49610440021433
12.96,-2.32,-5.38,-3.06,0.89,19.65,12.9895705997275,5.41013922373508,2.32597059820951
6.73,-2.33,-5.41,-3.08,1.013,12.65,-1.31155431686692,4.99376427457755,2.23467319189575
9.7,-2.56,-5.54,-2.98,1,15.99,9.16328201566008,3.30522850786297,1.81802874230936
1.86,-2,-5.14,-3.14,0.76,4.4,-2.53334484523956,3.04801580385569,1.74585675353269
2.93,-2.55,-5.68,-3.13,1.06,4.82,-3.0891166121236,3.5342838421272,1.87996910669489
12.71,-1.93,-5.54,-3.61,0.8,22.61,13.1019147274845,21.8348040944448,4.67277263457627
11.6,-1.89,-5.41,-3.52,0.81,20.83,11.5254352001037,23.1628348417634,4.81277828720204
5.3,-2.09,-5.49,-3.4,0.86,13.1,-1.31376889141196,5.31781847504416,2.30603956493469
13.2,-2.06,-5.48,-3.42,0.806,22,13.0136239751819,26.1924762083599,5.1178585568927
14.8,-2,-5.64,-3.64,0.94,21.8,18.3636517810929,15.0626242942777,3.88105968702849
14.7,-2,-5.57,-3.57,0.92,22.4,18.7042527027705,36.1316701631113,6.01096249889411
12,-2,-5.47,-3.47,0.82,21.5,12.5844841310515,30.4718712776942,5.5201332662984
3,-1.56,-5.19,-3.63,0.73,7.81,-2.61761897358471,2.76660521053596,1.66331151939015
6.54,-1.78,-5.37,-3.59,0.88,13.66,4.05115379344891,5.20705374484571,2.28189696192569
10.21,-1.8,-5.28,-3.48,0.91,16.27,9.6202341452963,5.08292637782282,2.2545346255542
9.67,-1.8,-5.28,-3.48,0.74,20.8,10.0729735318033,13.1276073107424,3.62320401174739
13.8,-1.93,-5.5,-3.57,0.91,21.2,16.5649404509897,18.1111660961549,4.25572157173785
14.9,-1.94,-5.51,-3.57,0.9,22.35,17.6192125020352,18.0133632727942,4.24421527173095
15.59,-1.8,-5.45,-3.65,0.858,24.6,17.9023975428512,73.067677350334,8.5479633451679
12.6,-1.89,-5.5,-3.61,0.874,20.5,13.1166484230575,13.6962063673052,3.70083860324997
17.96,-1.86,-5.51,-3.65,0.892,25.83,24.2837326334446,95.1823913658636,9.75614633786638
15.86,-1.88,-5.49,-3.61,0.89,24.8,22.6791081335626,68.4039350518924,8.27066714672356
18.19,-1.88,-5.49,-3.61,0.91,25.5,22.7290088771818,69.1791958711018,8.31740319277007
17.07,-1.89,-5.47,-3.58,0.848,26.3,17.448643939041,127.072768682938,11.2726557954609
16.88,-1.89,-5.47,-3.58,0.851,26.14,18.777502510072,156.371888528511,12.5048745906751
16.21,-1.95,-5.55,-3.6,0.84,24.75,16.2552326216015,74.7244114200627,8.64432828044277
16.59,-1.95,-5.55,-3.6,0.84,26.18,16.3282923503649,80.7379646381041,8.98543068740192
18.5,-1.87,-5.5,-3.63,0.88,26.32,24.119969984271,219.465493315538,14.8143678000628
16.1,-1.84,-5.48,-3.64,0.9366,23.312,22.2585887040656,44.69534288481,6.68545756734795
14.18,-1.91,-5.52,-3.61,0.808,25.47,15.1367721266614,47.7011639590764,6.90660292467117
14.08,-1.91,-5.52,-3.61,0.837,25.42,15.7334812285879,74.8401484933202,8.65102008397392
15.05,-1.91,-5.52,-3.61,0.837,25.51,16.2344977510222,72.6883914912494,8.52574873493522
15.31,-1.93,-5.55,-3.62,0.803,26.1,14.6714688321213,94.9700905154294,9.74525989983999
14,-1.94,-5.36,-3.42,0.909,20.8,14.78945505631,13.0142703388529,3.60752967262265
16.01,-1.8,-5.45,-3.65,0.85,25.29,17.3849625871655,64.6250163311789,8.03896861115771
16.23,-1.8,-5.45,-3.65,0.86,25.54,19.1139224399181,83.2748821051825,9.12550722454278
16.83,-1.8,-5.45,-3.65,0.87,25.41,20.4355803332015,99.0182000454333,9.95078891573092
7.05,-1.83,-5.27,-3.44,0.87,13.49,1.12078804975991,5.38549100057581,2.32066606830363
13.25,-2.04,-5.45,-3.41,0.93,19.23,13.7009591782072,4.44092667143691,2.10735062849942
11.47,-1.85,-5.31,-3.46,0.92,17.86,11.4405727014837,4.7077306986986,2.16973055900925
10.26,-2.59,-5.39,-2.8,1.08,17.1,11.622762129759,3.98154862675537,1.9953818248033
12.8,-2.59,-5.39,-2.8,1.1,17.78,12.0934218973418,3.20498438187422,1.79024701699911
10.45,-2.09,-5.39,-3.3,0.94,16.92,11.2494925303791,3.22948547634846,1.79707692555117
8.84,-1.92,-5.39,-3.47,0.76,22.42,11.4425428754799,15.1924596477275,3.89775058818898
13.24,-1.99,-5.47,-3.48,0.72,25.98,14.9053499150378,84.9266134526283,9.21556365354981
11.97,-1.99,-5.47,-3.48,0.82,20.93,12.1899439809386,26.7786455289883,5.17480874322793
15.52,-1.99,-5.47,-3.48,0.86,25.54,19.2468796396752,124.637262196336,11.164105973894
3.84,-1.98,-5.44,-3.46,0.921,10.43,-2.30762161779993,5.57960248661522,2.36211822028772
6.12,-1.96,-5.42,-3.46,0.915,15.24,6.34669947216085,6.70269639960374,2.58895662373933
10.8,-2.57,-5.35,-2.78,1,16.5,10.4621921040302,4.39386684612146,2.09615525334395
11.72,-2.57,-5.35,-2.78,1.01,17.15,11.3561614494037,2.83242979946435,1.68298241210785
1.47,-2,-5.7,-3.7,1.051,4.6,-2.03741343455508,2.35564738818573,1.53481184129708
6.51,-1.76,-5.45,-3.69,0.92,10.89,-1.92645693357108,4.88385508171763,2.20994458792921
3.37,-1.76,-5.45,-3.69,0.93,7.13,-3.01406345905724,3.72479731836935,1.92997339835795
10,-1.58,-5.24,-3.66,0.74,22.8,12.302248877684,15.52896518077,3.94068080168516
8.4,-1.87,-5.09,-3.22,0.82,17.7,9.87271478249802,7.50117138895451,2.7388266445605
5.28,-1.7,-5.3,-3.6,0.79,11.92,-1.35896454716944,1.48775203142625,1.21973441020013
6.71,-1.7,-5.3,-3.6,0.81,13.53,2.05333170730186,7.15081498788685,2.67410078117614
11.34,-1.79,-5.49,-3.7,0.95,17.87,12.2721263743279,3.19963228236352,1.78875159884304
17.62,-2.46,-5.64,-3.18,0.85,26.58,12.5844451322739,296.478674941908,17.2185561224485
18.51,-2.44,-5.63,-3.19,0.88,26.61,17.7117155377906,613.405103998457,24.7670164533086
16.22,-2.44,-5.63,-3.19,0.88,26.1,20.3524023788996,221.220018142688,14.8734669173898
18.41,-2.18,-5.64,-3.46,0.88,26.36,22.2688238299332,338.709683053148,18.404067024795
18.18,-2.1,-5.58,-3.48,0.878,26.03,22.1782745483901,134.826585942966,11.6114850877468
16.68,-2.46,-5.41,-2.95,0.882,25.2,22.3238237440796,39.9346081430347,6.31938352555332
10.51,-2.46,-5.41,-2.95,0.975,17.05,11.8111506399701,1.21370272654854,1.10168177190536
17.7,-2.59,-5.41,-2.82,0.87,25.9,20.278054422516,73.7927018315884,8.59026785563689
16.9,-2.59,-5.41,-2.82,0.89,25.9,24.0416442843557,57.6292608413914,7.59139386683311
13.7,-2.07,-5.43,-3.36,0.88,20.3,12.5213256575043,9.71408091975231,3.11674203612559
7.8,-1.89,-5.47,-3.58,0.77,15.55,7.34985186492122,7.92446651335408,2.81504289724936
9.25,-2.07,-5.64,-3.57,0.96,16.42,10.8221449619419,4.7672968014773,2.18341402429253
17.84,-2.08,-5.47,-3.39,0.92,26.39,25.333816960024,170.674859913448,13.0642588734856
18.2,-2.06,-5.43,-3.37,0.866,27.23,26.4811571591942,233.053472134481,15.266088959995
13.75,-2.06,-5.43,-3.37,0.871,26.16,22.473235251653,56.9855123185348,7.54887490415193
18.57,-2.06,-5.43,-3.37,0.9,26.71,29.7213381501419,254.364356767846,15.9488042425708
15.82,-2.06,-5.43,-3.37,0.903,23.31,22.5920790070408,24.5975944592133,4.9595961992095
18.44,-2.06,-5.43,-3.37,0.897,26.23,26.1748136570398,78.1913976107935,8.84258998318895
12.8,-2.06,-5.56,-3.5,0.93,19.2,13.3476535067166,2.32805389796764,1.525796152167
7.92,-1.54,-5.24,-3.7,0.665,18.21,10.0395307707798,7.57047113572438,2.75144891570321
9.7,-1.57,-5.5,-3.93,0.828,18.43,11.0174849031175,6.76769626713493,2.60147963035172
2.4,-1.77,-5.53,-3.76,0.68,8.48,-3.14945232882762,5.52047291095296,2.34956866487297
0.18,-2.27,-5.54,-3.27,0.88,0.88,-2.59219224687993,3.74732578520357,1.93580107066908
12.33,-2.01,-5.48,-3.47,0.84,20.6,11.9909945000254,21.0431669312179,4.58728317539019
6.2,-1.9,-5.49,-3.59,0.99,15.1,7.41728174050862,11.5881202778563,3.40413282318072
12.6,-1.85,-5.41,-3.56,0.82,22.3,12.8486721331103,22.167535957549,4.70824128072776
10.16,-2.26,-5.26,-3,0.94,16.5,10.4321472086239,4.64930152665582,2.15622390457388
10,-2.31,-5.31,-3,0.94,15.51,7.73983568229424,10.3901586798693,3.22337690626916
8.14,-2.3,-5.2,-2.9,0.89,16.6,11.1971336177424,3.64638651257792,1.90955139039983
7.06,-2.3,-5.2,-2.9,0.9,15.92,10.0390934978491,3.99712108541932,1.99928014180587
6.44,-2.3,-5.2,-2.9,0.92,13.33,0.873238787379861,7.48765568771151,2.7363581066285
8.48,-2.37,-5.4,-3.03,0.98,15.32,7.11338734585455,10.4069173625782,3.22597541258117
12.38,-2.33,-5.34,-3.01,0.94,18.5,12.4341172971365,3.84709226204404,1.96140058683688
9.76,-2.34,-5.32,-2.98,0.94,16.75,11.0817275634354,4.991836833424,2.23424189232589
13,-1.91,-5.5,-3.59,0.898,20.65,15.4759262024393,11.6185826752286,3.40860421217081
