group,rank,canonical_SMILES,homo_ev,mol_weight,CATE,CATE_se,direction
Top 10 Most Positive CATE,1,CCN1C(=O)c2ccc3c4c(-c5ccccc5C)c5c6cccc7cccc(c5c(-c5ccccc5C)c4c4ccc(c2c34)C1=O)c76,-5.99,603.7,0.027444,0.033964,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,2,CCn1c2cc(-c3ccc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)o3)ccc2c2ccc(-c3ccc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)o3)cc21,-5.44,747.8,0.026637,0.03245,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,3,CCn1c2cc(-c3ccc(C=C(C#N)C#N)c4nsnc34)ccc2c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,-5.28,615.7,0.026637,0.03245,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,4,CCn1c2cc(-c3ccc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)s3)ccc2c2ccc(-c3ccc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)s3)cc21,-5.47,780,0.026612,0.032248,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,5,CCN1C(=O)c2ccc3c4ccc5c6c(cc(-c7cc8c9c(ccc%10c%11ccc%12c%13c(ccc(c7c9%10)c%13%11)C(=O)N(CC)C%12=O)C(=O)N(CC)C8=O)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC)C5=O,-5.55,890.9,0.026336,0.033866,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,6,CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,-5.51,787,0.025607,0.031795,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,7,CCC1(CC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,-5.67,795,0.025573,0.03179,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,8,CCN1C(=O)c2c(c(-c3cccs3)c3c(c2-c2cccs2)-c2cccc4c(C#N)ccc-3c24)C1=O,-5.65,488.6,0.025559,0.03209,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,9,CCC1(CC)c2ccccc2-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,-6.2,432.6,0.025559,0.03209,Positive — EWGs raise HOMO for this molecule
Top 10 Most Positive CATE,10,CC[Si]1(CC)c2ccsc2-c2sc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,-5.4,460.7,0.025559,0.03209,Positive — EWGs raise HOMO for this molecule
Top 10 Most Negative CATE,1,CCc1ccc(C2(c3ccc(CC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.13,1265.7,-0.046194,0.011334,Negative — EWGs lower HOMO strongly for this molecule
Top 10 Most Negative CATE,2,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3c2ccc2c4c(ccc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3\C(=O)c5cc6ccccc6cc5C3=C(C#N)C#N)sc2-4)cc1,-5.54,1241.6,-0.04474,0.012462,Negative — EWGs lower HOMO strongly for this molecule
Top 10 Most Negative CATE,3,CCc1ccc(C2(c3ccc(CC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccc(F)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,-5.44,1301.6,-0.042614,0.014812,Negative — EWGs lower HOMO strongly for this molecule
Top 10 Most Negative CATE,4,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c4sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc4n(CC)c23)cc1,-5.46,1306.6,-0.042105,0.012516,Negative — EWGs lower HOMO strongly for this molecule
